,,,,,,,,,
,Datetime,Refrigeration Unit - 1,,Refrigeration Unit - 2,,Refrigeration Unit - 3,,Refrigeration Unit - 4,
,,Power,Temperature,Power,Temperature,Power,Temperature,Power,Temperature
,8/1/17 0:00,2.26,4.81,3.23,0.50,0.00,8.93,0.31,3.34
,8/1/17 0:01,2.20,3.90,3.19,0.25,0.00,8.90,1.34,3.44
,8/1/17 0:02,2.13,3.16,3.18,0.00,0.00,8.87,2.37,2.72
,8/1/17 0:03,2.14,2.72,3.17,-0.22,0.00,8.81,2.23,2.13
,8/1/17 0:04,1.23,2.31,3.17,-0.50,0.00,8.81,2.23,1.75
,8/1/17 0:05,0.30,2.44,3.16,-0.72,0.00,8.81,2.24,1.41
,8/1/17 0:06,0.30,3.28,3.18,-0.94,0.00,8.81,2.26,1.43
,8/1/17 0:07,0.29,4.00,3.19,-1.19,0.00,8.84,2.26,1.19
,8/1/17 0:08,0.29,4.41,3.17,-1.37,0.00,8.87,2.24,0.78
,8/1/17 0:09,0.29,4.69,3.18,-1.53,0.00,8.97,2.24,0.44
,8/1/17 0:10,0.29,4.87,3.17,-1.72,0.00,8.97,2.24,0.19
,8/1/17 0:11,2.31,4.62,3.21,-1.87,0.00,9.00,0.31,0.72
,8/1/17 0:12,2.17,3.65,3.22,-2.03,0.00,8.93,0.31,2.62
,8/1/17 0:13,2.14,2.94,3.20,-2.15,0.00,8.93,0.31,4.78
,8/1/17 0:14,2.15,2.53,3.19,-2.16,0.00,8.93,1.37,5.25
,8/1/17 0:15,0.30,2.31,3.17,-2.03,0.00,8.93,2.32,4.03
,8/1/17 0:16,0.30,2.84,3.21,-2.15,0.00,8.97,2.32,3.19
,8/1/17 0:17,0.30,3.72,3.21,-2.31,0.00,8.97,2.36,2.59
,8/1/17 0:18,0.30,4.25,3.21,-2.50,0.00,8.93,2.37,2.22
,8/1/17 0:19,0.30,4.56,3.22,-2.65,0.00,8.93,2.37,1.94
,8/1/17 0:20,0.30,4.78,3.24,-2.81,0.00,9.00,2.37,1.65
,8/1/17 0:21,1.31,4.90,3.22,-2.97,0.00,9.00,2.36,1.41
,8/1/17 0:22,2.27,4.12,3.21,-3.03,0.00,9.00,2.35,1.12
,8/1/17 0:23,2.13,3.25,3.21,-3.09,0.00,9.00,2.33,0.84
,8/1/17 0:24,2.15,2.72,3.20,-3.22,0.00,9.00,2.32,0.62
,8/1/17 0:25,1.23,2.31,0.40,-2.97,0.00,9.00,2.31,0.37
,8/1/17 0:26,0.30,2.50,0.40,-1.90,0.00,9.00,0.31,0.66
,8/1/17 0:27,0.30,3.84,0.40,-0.47,0.00,9.00,0.31,1.13
,8/1/17 0:28,0.30,4.66,0.40,0.19,0.00,9.03,0.31,1.56
,8/1/17 0:29,1.22,4.97,0.40,0.44,0.00,9.06,0.31,1.91
,8/1/17 0:30,2.29,4.31,0.39,0.62,0.00,9.06,0.31,2.28
,8/1/17 0:31,2.15,3.44,0.40,0.78,0.00,9.06,0.31,2.69
,8/1/17 0:32,2.13,2.88,0.40,0.97,0.00,9.06,0.31,3.03
,8/1/17 0:33,2.15,2.44,0.39,1.09,0.00,9.06,0.31,3.31
,8/1/17 0:34,0.30,2.28,0.39,1.28,0.00,9.06,1.36,3.38
,8/1/17 0:35,0.30,3.03,0.39,1.50,0.00,9.06,2.30,2.56
,8/1/17 0:36,0.30,3.91,0.39,1.78,0.00,9.06,2.28,1.88
,8/1/17 0:37,0.30,4.34,0.39,2.19,0.00,9.06,2.25,1.47
,8/1/17 0:38,0.30,4.65,0.39,2.50,0.00,9.06,2.25,1.22
,8/1/17 0:39,0.30,4.84,0.39,2.75,0.00,9.06,2.26,1.03
,8/1/17 0:40,2.25,4.75,0.39,3.00,0.00,9.09,2.25,0.66
,8/1/17 0:41,2.20,3.84,0.39,3.22,0.00,9.09,1.28,0.37
,8/1/17 0:42,2.14,3.06,0.39,3.56,0.00,9.12,0.31,0.75
,8/1/17 0:43,2.15,2.59,0.39,4.19,0.00,9.12,0.31,1.25
,8/1/17 0:44,1.20,2.25,0.39,4.25,,9.12,0.31,1.72
,8/1/17 0:45,0.30,2.65,0.39,4.34,0.00,9.12,0.31,2.09
,8/1/17 0:46,0.30,3.53,0.39,4.40,0.00,9.12,0.31,2.47
